avg_sec_per_epoch,count,duration_sec,epochs,fps,run,section,total_sec
159.28978701295523,,,30,,fallback,train,4619.403823375702
753.8362000892902,,,30,,mamba_ssm,train,21861.249802589417
,997,207.56858372688293,,4.803231693828217,fallback,inference,
,997,270.927344083786,,3.679953396256937,fallback,evaluation,
,997,243.94048523902893,,4.087062461251866,mamba_ssm,inference,
,997,276.781357049942,,3.6021212216981175,mamba_ssm,evaluation,
